Name,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid
"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Gentlease)",6.87,1.7,3.43
"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Gentlease)",6.87,1.7,3.43
"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions Gentlease)",6.87,1.7,3.43
"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)",6.87,1.7,3.43
"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions Gentlease)",6.87,1.7,3.43
"Infant formula, NS as to form (PediaSure)",11.15,2.86,4.77
"Infant formula, ready-to-feed (PediaSure)",11.15,2.86,4.77
"Infant formula, with fiber, NS as to form (PediaSure Fiber)",11.28,2.8,4.7
"Infant formula, with fiber, ready-to-feed (PediaSure Fiber)",11.28,2.8,4.7
"Infant formula, NS as to form (Gerber Good Start Gentle)",7.45,1.48,3.41
"Infant formula, ready-to-feed (Gerber Good Start Gentle)",7.45,1.48,3.41
"Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Gentle)",7.45,1.48,3.41
"Infant formula, powder, made with water, NFS (Gerber Good Start Gentle)",7.45,1.48,3.41
"Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle)",7.45,1.48,3.41
"Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Gentle)",7.45,1.48,3.41
"Infant formula, liquid concentrate, made with baby water (Gerber Good Start Gentle)",7.45,1.48,3.41
"Infant formula, powder, made with tap water (Gerber Good Start Gentle)",7.45,1.48,3.41
"Infant formula, powder, made with plain bottled water (Gerber Good Start Gentle)",7.45,1.48,3.41
"Infant formula, powder, made with baby water (Gerber Good Start Gentle)",7.45,1.48,3.41
"Infant formula, NS as to form (Gerber Good Start Protect)",7.45,1.48,3.41
"Infant formula, powder, made with water, NFS (Gerber Good Start Protect)",7.45,1.48,3.41
"Infant formula, powder, made with tap water (Gerber Good Start Protect)",7.45,1.48,3.41
"Infant formula, powder, made with plain bottled water (Gerber Good Start Protect)",7.45,1.48,3.41
"Infant formula, powder, made with baby water (Gerber Good Start Protect)",7.45,1.48,3.41
"Infant formula, NS as to form (Gerber Graduates Gentle)",7.46,1.41,3.28
"Infant formula, NS as to form (Gerber Graduates Protect)",7.46,1.41,3.28
"Infant formula, NS as to form (Store Brand)",7.12,1.38,3.56
"Infant formula, liquid concentrate, made with water, NFS (Store Brand)",7.12,1.38,3.56
"Infant formula, powder, made with water, NFS (Store Brand)",7.12,1.38,3.56
"Infant formula, ready-to-feed (Store Brand)",7.12,1.38,3.56
"Infant formula, liquid concentrate, made with tap water (Store Brand)",7.12,1.38,3.56
"Infant formula, liquid concentrate, made with plain bottled water (Store Brand)",7.12,1.38,3.56
"Infant formula, liquid concentrate, made with baby water (Store Brand)",7.12,1.38,3.56
"Infant formula, powder, made with tap water (Store Brand)",7.12,1.38,3.56
"Infant formula, powder, made with plain bottled water (Store Brand)",7.12,1.38,3.56
"Infant formula, powder, made with baby water (Store Brand)",7.12,1.38,3.56
"Infant formula, NS as to form (Enfamil ProSobee)",6.86,1.62,3.49
"Infant formula, ready-to-feed (Enfamil ProSobee)",6.86,1.62,3.49
"Infant formula, liquid concentrate, made with water, NFS (Enfamil ProSobee)",6.86,1.62,3.49
"Infant formula, powder, made with water, NFS (Enfamil ProSobee)",6.86,1.62,3.49
"Infant formula, liquid concentrate, made with tap water (Enfamil ProSobee)",6.86,1.62,3.49
"Infant formula, liquid concentrate, made with plain bottled water (Enfamil ProSobee)",6.86,1.62,3.49
"Infant formula, liquid concentrate, made with baby water (Enfamil ProSobee)",6.86,1.62,3.49
"Infant formula, powder, made with tap water (Enfamil ProSobee)",6.86,1.62,3.49
"Infant formula, powder, made with plain bottled water (Enfamil ProSobee)",6.86,1.62,3.49
"Infant formula, powder, made with baby water (Enfamil ProSobee)",6.86,1.62,3.49
"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Soy)",7.4,2.07,2.77
"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Soy)",7.4,2.07,2.77
"Infant formula, NS as to form (Similac Isomil Soy)",6.73,1.58,3.53
"Infant formula, ready-to-feed (Similac Isomil Soy)",6.73,1.58,3.53
"Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)",6.73,1.58,3.53
"Infant formula, powder, made with water, NFS (Similac Isomil Soy)",6.73,1.58,3.53
"Infant formula, liquid concentrate, made with tap water (Similac Isomil Soy)",6.73,1.58,3.53
"Infant formula, liquid concentrate, made with plain bottled water (Similac Isomil Soy)",6.73,1.58,3.53
"Infant formula, liquid concentrate, made with baby water (Similac Isomil Soy)",6.73,1.58,3.53
"Infant formula, powder, made with tap water (Similac Isomil Soy)",6.73,1.58,3.53
"Infant formula, powder, made with plain bottled water (Similac Isomil Soy)",6.73,1.58,3.53
"Infant formula, powder, made with baby water (Similac Isomil Soy)",6.73,1.58,3.53
"Infant formula, NS as to form (Similac Expert Care for Diarrhea)",6.67,1.76,3.6
"Infant formula, ready-to-feed (Similac Expert Care for Diarrhea)",6.67,1.76,3.6
"Infant formula, NS as to form (Gerber Good Start Soy)",7.27,1.63,3.35
"Infant formula, ready-to-feed (Gerber Good Start Soy)",7.27,1.63,3.35
"Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Soy)",7.27,1.63,3.35
"Infant formula, powder, made with water, NFS (Gerber Good Start Soy)",7.27,1.63,3.35
"Infant formula, liquid concentrate, made with tap water (Gerber Good Start Soy)",7.27,1.63,3.35
"Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Soy)",7.27,1.63,3.35
"Infant formula, liquid concentrate, made with baby water (Gerber Good Start Soy)",7.27,1.63,3.35
"Infant formula, powder, made with tap water (Gerber Good Start Soy)",7.27,1.63,3.35
"Infant formula, powder, made with plain bottled water (Gerber Good Start Soy)",7.27,1.63,3.35
"Infant formula, powder, made with baby water (Gerber Good Start Soy)",7.27,1.63,3.35
"Infant formula, NS as to form (Gerber Graduates Soy)",7.15,1.84,3.28
"Infant formula, NS as to form (Store Brand Soy)",6.79,1.6,3.51
"Infant formula, ready-to-feed (Store brand Soy)",6.79,1.6,3.51
"Infant formula, liquid concentrate, made with water, NFS (Store Brand Soy)",6.79,1.6,3.51
"Infant formula, powder, made with water, NFS (Store Brand Soy)",6.79,1.6,3.51
"Infant formula, powder, made with tap water (Store Brand Soy)",6.79,1.6,3.51
"Infant formula, powder, made with plain bottled water (Store Brand Soy)",6.79,1.6,3.51
"Infant formula, powder, made with baby water (Store Brand Soy)",6.79,1.6,3.51
"Infant formula, NS as to form (Enfamil Nutramigen)",6.6,1.8,3.36
"Infant formula, ready-to-feed (Enfamil Nutramigen)",6.6,1.8,3.36
"Infant formula, liquid concentrate, made with water, NFS (Enfamil Nutramigen)",6.6,1.8,3.36
"Infant formula, powder, made with water, NFS (Enfamil Nutramigen)",6.6,1.8,3.36
"Infant formula, NS as to form (PurAmino)",6.6,1.81,3.36
"Infant formula, powder, made with water, NFS (PurAmino)",6.6,1.81,3.36
"Infant formula, NS as to form (Enfamil Pregestimil)",6.83,1.81,3.62
"Infant formula, ready-to-feed (Enfamil Pregestimil)",6.83,1.81,3.62
"Infant formula, powder, made with water, NFS (Enfamil Pregestimil)",6.83,1.81,3.62
"Infant formula, ready-to-feed, low iron (Enfamil Premature 20 Cal)",7.21,1.97,3.34
"Infant formula, ready-to-feed, with iron (Enfamil Premature 20 Cal)",7.21,1.97,3.34
"Milk, dry, not reconstituted, NS as to fat content",51.98,36.16,0.77
"Milk, dry, not reconstituted, whole",38.42,26.32,26.71
"Milk, dry, not reconstituted, low fat (1%)",51.46,35.8,1.75
"Milk, dry, not reconstituted, fat free (skim)",51.98,36.16,0.77
"Whey, sweet, dry",74.46,12.93,1.07
"Cocoa powder, not reconstituted",57.9,19.6,13.7
"Chocolate beverage powder, dry mix, not reconstituted",90.28,4.55,2.27
"Chocolate beverage powder, light, dry mix, not reconstituted",68.31,9.09,4.5
"Milk, malted, dry mix, not reconstituted",92.96,0.0,0.0
"Strawberry beverage powder, dry mix, not reconstituted",99.1,0.1,0.2
"Cream, NS as to light, heavy, or half and half",4.3,3.13,11.5
"Cream, light",3.66,2.96,19.1
"Cream, half and half",4.3,3.13,11.5
"Cream, half and half, flavored",4.5,3.07,11.28
